ORF	substrate	sf	fam	type	pdb	score	rmsd	seqid	length
YOR120W	-	c.1.7	c.1.7.1	model	../data/homology/YOR120W_1sm9A/YOR120W.B99990004.pdb	-33433.8	0.47	38.14	312
YFL056C	-	c.1.7	c.1.7.1	model	../data/homology/YFL056C_5hntA/YFL056C.B99990002.pdb	-19556.31	0.69	21.7	212
YHR104W	+	c.1.7	c.1.7.1	model	../data/homology/YHR104W_1sm9A/YHR104W.B99990002.pdb	-39545.2	0.22	55.49	327
YDR368W	+	c.1.7	c.1.7.1	model	../data/homology/YDR368W_3uzwA/YDR368W.B99990001.pdb	-34324.81	0.53	39.1	312
YFL057C	-	c.1.7	c.1.7.1	model	../data/homology/YFL057C_4xk2A/YFL057C.B99990002.pdb	-10738.1	1.71	20.4	152
YNL090W	+	c.37.1	c.37.1.8	model	../data/homology/YNL090W_1ek0A/YNL090W.B99990005.pdb	-19208.35	0.47	35.71	192
YMR138W	+	c.37.1	c.37.1.8	model	../data/homology/YMR138W_1mozA/YMR138W.B99990004.pdb	-20658.5	0.37	32.58	191
YKR059W	+	c.37.1	c.37.1.19	pdb	../data/homology/YKR059W_1fuuA/YKR059W.B99990001.pdb	none	none	none	395
YOR094W	-	c.37.1	c.37.1.8	model	../data/homology/YOR094W_1mozA/YOR094W.B99990004.pdb	-21152.19	0.24	47.75	183
YBR164C	+	c.37.1	c.37.1.8	pdb	../data/homology/YBR164C_1mozA/YBR164C.B99990001.pdb	none	none	none	183
YKR014C	+	c.37.1	c.37.1.8	model	../data/homology/YKR014C_1ek0A/YKR014C.B99990004.pdb	-21846.64	0.36	62.5	234
YNL093W	-	c.37.1	c.37.1.8	model	../data/homology/YNL093W_1ek0A/YNL093W.B99990005.pdb	-21779.97	0.2	64.88	220
YDL084W	+	c.37.1	c.37.1.19	pdb	../data/homology/YDL084W_5supA/YDL084W.B99990003.pdb	none	none	none	446
YOR185C	+	c.37.1	c.37.1.8	model	../data/homology/YOR185C_2x19A/YOR185C.B99990001.pdb	-21681.29	0.14	98.84	220
YFL005W	+	c.37.1	c.37.1.8	pdb	../data/homology/YFL005W_1g16A/YFL005W.B99990002.pdb	none	none	none	215
YDR021W	+	c.37.1	c.37.1.19	model	../data/homology/YDR021W_5supA/YDR021W.B99990003.pdb	-45636.21	0.31	35.51	399
YHR022C	-	c.37.1	c.37.1.8	model	../data/homology/YHR022C_1ek0A/YHR022C.B99990005.pdb	-22959.11	0.51	31.55	256
YJR057W	-	c.37.1	c.37.1.1	pdb	../data/homology/YJR057W_1tmkA/YJR057W.B99990002.pdb	none	none	none	216
YHR065C	-	c.37.1	c.37.1.19	model	../data/homology/YHR065C_5supA/YHR065C.B99990003.pdb	-45830.74	0.41	33.68	501
YFL038C	+	c.37.1	c.37.1.8	pdb	../data/homology/YFL038C_1ukvY/YFL038C.B99990001.pdb	none	none	none	206
YDR248C	-	c.37.1	c.37.1.17	model	../data/homology/YDR248C_1tmkA/YDR248C.B99990001.pdb	-16585.86	0.7	22.28	193
YFL066C	+	c.37.1	c.37.1.19	model	../data/homology/YFL066C_5supA/YFL066C.B99990003.pdb	-39024.64	0.43	17.23	392
YCR027C	+	c.37.1	c.37.1.8	model	../data/homology/YCR027C_1g16A/YCR027C.B99990005.pdb	-20605.51	0.31	41.03	209
YBR264C	+	c.37.1	c.37.1.8	model	../data/homology/YBR264C_1ukvY/YBR264C.B99990005.pdb	-19410.23	0.51	28.43	199
YOR089C	+	c.37.1	c.37.1.8	pdb	../data/homology/YOR089C_1ek0A/YOR089C.B99990003.pdb	none	none	none	210
YGR205W	-	c.37.1	c.37.1.6	pdb	../data/homology/YGR205W_1odfA/YGR205W.B99990002.pdb	none	none	none	290
YLR293C	+	c.37.1	c.37.1.8	pdb	../data/homology/YLR293C_2x19A/YLR293C.B99990002.pdb	none	none	none	219
YGL091C	-	c.37.1	c.37.1.10	model	../data/homology/YGL091C_5supA/YGL091C.B99990003.pdb	-25578.18	0.84	15.85	328
YOR046C	+	c.37.1	c.37.1.19	pdb	../data/homology/YOR046C_2kbeA/YOR046C.B99990001.pdb	none	none	none	482
YIL003W	+	c.37.1	c.37.1.10	model	../data/homology/YIL003W_1fuuA/YIL003W.B99990005.pdb	-24633.32	0.71	26.7	293
YKL154W	-	c.37.1	c.37.1.8	pdb	../data/homology/YKL154W_1nrjB/YKL154W.B99990002.pdb	none	none	none	244
YBR227C	-	c.37.1	c.37.1.20	model	../data/homology/YBR227C_5supA/YBR227C.B99990005.pdb	-40858.5	0.74	22.45	520
YNL202W	-	c.2.1	c.2.1.2	model	../data/homology/YNL202W_4hbgA/YNL202W.B99990002.pdb	-24477.74	0.72	18.68	292
YKL107W	-	c.2.1	c.2.1.2	model	../data/homology/YKL107W_4hbgA/YKL107W.B99990003.pdb	-25064.38	0.7	20.23	309
YDL114W	-	c.2.1	c.2.1.2	model	../data/homology/YDL114W_4hbgA/YDL114W.B99990005.pdb	-25466.47	0.82	19.84	308
YLR426W	+	c.2.1	c.2.1.2	model	../data/homology/YLR426W_4hbgA/YLR426W.B99990003.pdb	-32014.18	0.64	23.35	326
YOR246C	+	c.2.1	c.2.1.2	model	../data/homology/YOR246C_4hbgA/YOR246C.B99990004.pdb	-31519.18	0.86	22.18	330
YKL055C	-	c.2.1	c.2.1.2	pdb	../data/homology/YKL055C_4hbgA/YKL055C.B99990001.pdb	none	none	none	278
YPL033C	-	c.2.1	c.2.1.2	model	../data/homology/YPL033C_4hbgA/YPL033C.B99990003.pdb	-27533.14	0.69	17.51	281
YBR159W	-	c.2.1	c.2.1.2	model	../data/homology/YBR159W_4hbgA/YBR159W.B99990003.pdb	-30220.31	0.85	21.79	347
YMR090W	-	c.2.1	c.2.1.2	model	../data/homology/YMR090W_4hbgA/YMR090W.B99990002.pdb	-18424.23	0.95	21.15	227
YNL181W	+	c.2.1	c.2.1.2	model	../data/homology/YNL181W_4hbgA/YNL181W.B99990004.pdb	-29277.47	0.91	26.85	407
YKL071W	-	c.2.1	c.2.1.2	model	../data/homology/YKL071W_4hbgA/YKL071W.B99990005.pdb	-24451.21	0.69	16.8	256
YER004W	+	c.2.1	c.2.1.2	model	../data/homology/YER004W_4hbgA/YER004W.B99990004.pdb	-18179.08	0.76	18.18	231
YIR036C	+	c.2.1	c.2.1.2	model	../data/homology/YIR036C_4hbgA/YIR036C.B99990003.pdb	-24709.9	0.58	15.18	263
YIL124W	+	c.2.1	c.2.1.2	model	../data/homology/YIL124W_4hbgA/YIL124W.B99990004.pdb	-26434.21	0.81	20.23	297
YGR019W	+	c.67.1	c.67.1.4	model	../data/homology/YGR019W_1yaaA/YGR019W.B99990002.pdb	-42106.32	0.63	18.93	471
YNR058W	-	c.67.1	c.67.1.4	model	../data/homology/YNR058W_1yaaA/YNR058W.B99990004.pdb	-45384.27	0.66	20.15	480
YLR438W	-	c.67.1	c.67.1.4	model	../data/homology/YLR438W_1yaaA/YLR438W.B99990002.pdb	-39690.49	0.57	16.75	424
YLR027C	+	c.67.1	c.67.1.1	pdb	../data/homology/YLR027C_1yaaA/YLR027C.B99990002.pdb	none	none	none	418
YBR263W	+	c.67.1	c.67.1.4	model	../data/homology/YBR263W_1yaaA/YBR263W.B99990001.pdb	-38340.92	0.69	20.15	490
YEL066W	+	d.108.1	d.108.1.1	model	../data/homology/YEL066W_1qsmA/YEL066W.B99990004.pdb	-16494.86	0.24	50.67	179
YPR193C	-	d.108.1	d.108.1.1	pdb	../data/homology/YPR193C_1qsmA/YPR193C.B99990003.pdb	none	none	none	156
YPR131C	+	d.108.1	d.108.1.1	model	../data/homology/YPR131C_1qsmA/YPR131C.B99990004.pdb	-15645.86	0.82	20.67	195
YDR071C	+	d.108.1	d.108.1.1	model	../data/homology/YDR071C_1i12A/YDR071C.B99990004.pdb	-15491.26	0.73	26.62	191
YFL017C	+	d.108.1	d.108.1.1	pdb	../data/homology/YFL017C_1i12A/YFL017C.B99990001.pdb	none	none	none	159
YIR042C	-	d.108.1	d.108.1.1	model	../data/homology/YIR042C_1qsmA/YIR042C.B99990001.pdb	-17541.16	0.95	27.33	236
YDR183W	-	c.47.1	c.47.1.6	model	../data/homology/YDR183W_2oe3A/YDR183W.B99990001.pdb	-16628.46	0.52	32.08	230
YKL026C	-	c.47.1	c.47.1.10	model	../data/homology/YKL026C_5dvbH/YKL026C.B99990004.pdb	-14982.54	0.59	15.57	167
YDR453C	-	c.47.1	c.47.1.10	pdb	../data/homology/YDR453C_5dvbH/YDR453C.B99990002.pdb	none	none	none	196
YCL035C	-	c.47.1	c.47.1.1	pdb	../data/homology/YCL035C_2jacA/YCL035C.B99990001.pdb	none	none	none	110
YCR083W	+	c.47.1	c.47.1.1	pdb	../data/homology/YCR083W_2oe3A/YCR083W.B99990003.pdb	none	none	none	127
YIL010W	-	c.47.1	c.47.1.10	pdb	../data/homology/YIL010W_2a4vA/YIL010W.B99990002.pdb	none	none	none	215
YLR364W	-	c.47.1	c.47.1.1	pdb	../data/homology/YLR364W_2m80A/2m80A.pdb	none	none	none	109
YHR057C	+	b.62.1	b.62.1.1	model	../data/homology/YHR057C_1istA/YHR057C.B99990001.pdb	-18142.51	0.19	55.28	205
YDR304C	-	b.62.1	b.62.1.1	model	../data/homology/YDR304C_1istA/YDR304C.B99990002.pdb	-19246.12	0.25	59.63	225
YML078W	-	b.62.1	b.62.1.1	model	../data/homology/YML078W_1istA/YML078W.B99990003.pdb	-17823.05	0.13	70.81	182
YDR155C	+	b.62.1	b.62.1.1	pdb	../data/homology/YDR155C_1istA/YDR155C.B99990001.pdb	none	none	none	162
YOR026W	+	b.69.4	b.69.4.1	pdb	../data/homology/YOR026W_1yfqA/YOR026W.B99990001.pdb	none	none	none	341
YLR043C	+	c.47.1	c.47.1.1	pdb	../data/homology/YLR043C_2i9hA/2i9hA.pdb	none	none	none	103
YDL192W	-	c.37.1	c.37.1.8	pdb	../data/homology/YDL192W_2k5uA/YDL192W.B99990003.pdb	none	none	none	181
YGL004C	+	b.69.4	b.69.4.1	pdb	../data/homology/YGL004C_3vl1A/YGL004C.B99990002.pdb	none	none	none	417
