geneID	ORF	domainID	pdb_code	scop	chain	start	end
528559	YBL078C	1484	1eo6a	d.15.1.3	A	1	117
529281	YDL192W	1485	1rrfa	c.37.1.8	A	1	181
529622	YDR267C	1486	1erja	b.69.4.1	A	1	330
529226	YDL137W	1499	1rrfa	c.37.1.8	A	1	181
529895	YDR530C	1524	1gupa	d.13.1.2	A	1	325
533160	YNL006W	1532	1erja	b.69.4.1	A	1	303
531302	YIL124W	1540	1ae1a	c.2.1.2	A	1	297
533615	YOL042W	1668	1hd7a	d.151.1.1	A	1	363
533971	YOR224C	1767	1a1da	b.40.4.8	A	1	146
530570	YGL240W	1788	1gqpa	b.18.1.9	A	1	283
533871	YOR126C	1800	1es9a	c.23.10.3	A	1	238
533289	YNL135C	1810	1yata	d.26.1.1	A	1	114
531621	YJL218W	1816	1krra	b.81.1.3	A	1	196
533371	YNL217W	1841	1auia	d.159.1.3	A	1	326
532638	YLR438C-A	1874	1i81a	b.38.1.1	A	1	89
533639	YOL065C	1920	1i9ya	d.151.1.2	A	1	384
529285	YDL196W	1921	1oczp	f.25.1.1	A	1	109
533641	YOL067C	1922	1am9a	a.38.1.1	A	1	177
532785	YML110C	1950	1kpia	c.66.1.18	A	1	307
534511	YPR082C	1951	1qgva	c.47.1.8	A	1	143
534514	YPR085C	1985	1erja	b.69.4.1	A	1	448
532781	YML106W	1988	1lh0a	c.61.1.1	A	1	226
533527	YNR032C-A	1990	1ud7a	d.15.1.1	A	1	73
533089	YMR267W	1994	1e6aa	b.40.5.1	A	1	310
533880	YOR136W	2002	1xaca	c.77.1.1	A	1	369
533356	YNL202W	2014	1gcoa	c.2.1.2	A	1	295
534263	YPL117C	2015	1nfsa	d.113.1.2	A	1	288
533354	YNL200C	2034	1jzta	c.104.1.1	A	1	246
529393	YDR051C	2048	1fzta	c.60.1.1	A	1	334
533686	YOL109W	2117	1av1a	h.5.1.1	A	1	113
531398	YIR042C	2167	1i12a	d.108.1.1	A	1	236
533709	YOL133W	2198	1ldjb	g.44.1.1	A	1	121
531469	YJL068C	2267	1f0na	c.69.1.3	A	1	299
533719	YOL143C	2310	1ejba	c.16.1.1	A	1	169
532845	YMR035W	2410	1kn9a	b.87.1.2	A	1	177
530217	YFL018W-A	2411	1i81a	b.38.1.1	A	1	77
533685	YOL108C	2495	1hloa	a.38.1.1	A	1	151
531342	YIL164C	2507	1f89a	d.160.1.1	A	1	199
534475	YPR046W	2518	1bgda	a.26.1.1	A	1	181
529341	YDR002W	2565	1rrpb	b.55.1.3	A	1	201
529913	YEL003W	2599	1fxkb	a.2.5.1	A	1	123
534491	YPR062W	2612	1uaqa	c.97.1.2	A	1	158
528936	YCL028W	2632	1i3qa	e.29.1.2	A	1	405
534496	YPR067W	2696	1nwba	b.124.1.1	A	1	185
528925	YCL018W	2711	2ayqa	c.77.1.1	A	1	364
532370	YLR178C	2719	1bd9a	b.17.1.1	A	1	219
532295	YLR100W	2760	1gcoa	c.2.1.2	A	1	347
530784	YGR183C	2802	1kyoi	f.23.14.1	A	1	66
532889	YMR077C	2810	1i84s	i.15.1.1	A	1	221
528683	YBR082C	2817	1qcqa	d.20.1.1	A	1	148
529401	YDR059C	2828	1qcqa	d.20.1.1	A	1	148
531525	YJL124C	2858	1i8fa	b.38.1.1	A	1	172
530975	YHR022C	2862	3raba	c.37.1.8	A	1	256
529938	YEL026W	2886	1e7ka	d.79.3.1	A	1	126
532304	YLR109W	2911	1h4oa	c.47.1.10	A	1	176
530965	YHR013C	2912	1i1da	d.108.1.1	A	1	238
529010	YCR027C	2913	1guaa	c.37.1.8	A	1	209
529941	YEL029C	2915	1jxha	c.72.1.2	A	1	312
529019	YCR036W	2986	1rk2a	c.72.1.1	A	1	333
533926	YOR180C	3103	1hnoa	c.14.1.3	A	1	271
529978	YEL066W	3137	1qsma	d.108.1.1	A	1	179
529967	YEL056W	3228	1gg2b	b.69.4.1	A	1	401
531650	YJR024C	3337	1jdia	c.74.1.1	A	1	244
534502	YPR073C	3350	1d1pa	c.44.1.1	A	1	161
530037	YER042W	3378	1fvaa	d.58.28.1	A	1	184
533992	YOR246C	3418	1cyda	c.2.1.2	A	1	330
529593	YDR242W	3441	1gr8a	c.117.1.1	A	1	549
533611	YOL038W	3463	1g0uc	d.153.1.4	A	1	254
529599	YDR248C	3492	1knqa	c.37.1.17	A	1	193
533999	YOR253W	3499	1bo4a	d.108.1.1	A	1	176
530056	YER057C	3515	1jd1a	d.79.1.1	A	1	129
529224	YDL135C	3540	1doab	b.1.18.8	A	1	202
530067	YER066W	3571	1erja	b.69.4.1	A	1	185
534033	YOR287C	3602	1c1gb	h.1.5.1	A	1	300
532929	YMR116C	3641	1erja	b.69.4.1	A	1	319
531700	YJR074W	3683	1eq6a	d.107.1.1	A	1	218
531061	YHR105W	3700	1h6ha	d.189.1.1	A	1	214
531060	YHR104W	3711	1jeza	c.1.7.1	A	1	327
533909	YOR163W	3760	1f3ya	d.113.1.1	A	1	188
531723	YJR097W	3809	1xbla	a.2.3.1	A	1	172
533108	YMR286W	3831	1bxya	d.59.1.1	A	1	86
530111	YER107C	3851	1erja	b.69.4.1	A	1	365
531733	YJR107W	3874	1dt3a	c.69.1.17	A	1	328
532977	YMR159C	3884	1i84s	i.15.1.1	A	1	150
533116	YMR293C	3885	1gr8a	c.117.1.1	A	1	464
533413	YNL259C	3914	1cc7a	d.58.17.1	A	1	73
533163	YNL009W	3926	1cnza	c.77.1.1	A	1	420
529178	YDL092W	3932	1e8ob	d.49.1.1	A	1	146
530354	YGL025C	3991	1i3qa	e.29.1.2	A	1	431
531759	YJR133W	4051	1bzya	c.61.1.1	A	1	209
533082	YMR260C	4052	1d7qa	b.40.4.5	A	1	153
530150	YER146W	4055	1i81a	b.38.1.1	A	1	93
530267	YFL067W	4102	1deqa	i.9.1.1	A	1	175
533187	YNL035C	4106	1gg2b	b.69.4.1	A	1	389
530266	YFL066C	4107	1fuua	c.37.1.19	A	1	392
530163	YER159C	4122	1jfia	a.22.1.3	A	1	142
528504	YBL026W	4158	1b34a	b.38.1.1	A	1	95
533210	YNL056W	4162	1mkpa	c.45.1.1	A	1	197
530256	YFL056C	4177	1exba	c.1.7.1	A	1	212
531779	YJR153W	4187	1czfa	b.80.1.3	A	1	361
531781	YJR155W	4208	1gveb	c.1.7.1	A	1	288
529994	YER003C	4261	1pmia	b.82.1.3	A	1	429
533335	YNL181W	4283	1gcoa	c.2.1.2	A	1	407
530001	YER009W	4290	1gy7a	d.17.4.2	A	1	125
531795	YKL006C-A	4295	1sfcd	h.1.15.1	A	1	97
530239	YFL038C	4305	1g17a	c.37.1.8	A	1	206
530238	YFL037W	4313	1ffxb	i.10.1.1	A	1	457
528609	YBR011C	4344	1yppa	b.40.5.1	A	1	287
528618	YBR018C	4406	1hxqa	d.13.1.2	A	1	366
530216	YFL017C	4441	1i1da	d.108.1.1	A	1	159
532961	YMR146C	4500	1gg2b	b.69.4.1	A	1	347
528653	YBR053C	4536	1e1aa	b.68.6.1	A	1	358
530275	YFR007W	4549	1esma	c.37.1.6	A	1	353
528663	YBR062C	4621	1chca	g.44.1.1	A	1	115
530287	YFR018C	4638	1ampa	c.56.5.4	A	1	363
528667	YBR066C	4655	1tf6a	g.37.1.1	A	1	220
532422	YLR229C	4659	1grna	c.37.1.8	A	1	191
533962	YOR215C	4667	1egya	a.104.1.1	A	1	185
533528	YNR032W	4750	1fjma	d.159.1.3	A	1	368
533322	YNL168C	4751	1gtta	d.177.1.1	A	1	259
533534	YNR037C	4783	1fjgs	d.28.1.1	A	1	91
532548	YLR351C	4817	1f89a	d.160.1.1	A	1	291
532551	YLR354C	4820	1f05a	c.1.10.1	A	1	335
528763	YBR159W	4849	1i01a	c.2.1.2	A	1	347
528769	YBR164C	4863	1rrfa	c.37.1.8	A	1	183
533303	YNL149C	4870	1jgsa	a.4.5.28	A	1	129
532562	YLR364W	4886	1jhba	c.47.1.1	A	1	109
528780	YBR175W	4917	1erja	b.69.4.1	A	1	315
533555	YNR058W	4928	1qj3a	c.67.1.4	A	1	480
528781	YBR176W	4929	1a50a	c.1.2.4	A	1	312
529359	YDR020C	4938	1a7ja	c.37.1.6	A	1	232
529360	YDR021W	4940	1fuua	c.37.1.19	A	1	399
533561	YNR064C	4995	1bn6a	c.69.1.8	A	1	290
531522	YJL121C	5008	1rpxa	c.1.2.2	A	1	238
533568	YNR071C	5062	1l7ja	b.30.5.4	A	1	342
534120	YOR369C	5124	1e7ka	d.79.3.1	A	1	143
529730	YDR368W	5149	2alra	c.1.7.1	A	1	312
530938	YHL038C	5176	1muka	e.8.1.4	A	1	630
530918	YHL018W	5224	1dcha	d.74.1.1	A	1	120
529740	YDR378C	5236	1i81a	b.38.1.1	A	1	123
528841	YBR234C	5300	1k8kc	b.69.4.1	A	1	384
530333	YGL004C	5327	1erja	b.69.4.1	A	1	417
529654	YDR299W	5337	1c1gb	h.1.5.1	A	1	534
528851	YBR244W	5381	1gp1a	c.47.1.10	A	1	162
528853	YBR246W	5390	1gg2b	b.69.4.1	A	1	387
746227	YGL033W	5478	1ggqa	a.24.12.1	A	1	185
530366	YGL037C	5498	1ilwa	c.33.1.3	A	1	216
532397	YLR205C	5510	1qq8a	a.132.1.1	A	1	273
530369	YGL040C	5518	1ylva	c.1.10.3	A	1	342
532914	YMR101C	5543	1jp3a	c.101.1.1	A	1	343
534560	YPR131C	5548	1i1da	d.108.1.1	A	1	251
532620	YLR420W	5552	1j79a	c.1.9.4	A	1	364
532735	YML064C	5590	1g17a	c.37.1.8	A	1	245
534467	YPR037C	5649	1jr8a	a.24.15.1	A	1	196
532392	YLR200W	5679	1fxka	a.2.5.1	A	1	114
533150	YMR322C	5690	1g2ia	c.23.16.2	A	1	237
532401	YLR209C	5726	1vfna	c.56.2.1	A	1	311
529530	YDR183W	5732	1b9yc	c.47.1.6	A	1	230
532404	YLR212C	5742	1ffxb	i.10.1.1	A	1	473
530416	YGL087C	5817	1jatb	d.20.1.1	A	1	137
533301	YNL147W	5821	1d3bb	b.38.1.1	A	1	107
530420	YGL091C	5831	1g3qa	c.37.1.10	A	1	328
529149	YDL064W	5884	1a3sa	d.20.1.1	A	1	157
531176	YHR217C	5932	1k83a	e.29.1.2	A	1	153
529851	YDR487C	5942	1k49a	d.115.1.2	A	1	208
531364	YIR009W	6018	1nrca	d.58.7.1	A	1	111
531368	YIR013C	6031	2gata	g.39.1.1	A	1	121
531648	YJR022W	6136	1d3bb	b.38.1.1	A	1	128
532188	YLL062C	6146	1dhpa	c.1.10.1	A	1	324
529874	YDR510W	6174	1l2na	d.15.1.1	A	1	101
530556	YGL226W	6224	1occd	f.23.1.1	A	1	123
531248	YIL070C	6347	1p32a	d.25.1.1	A	1	266
530612	YGR019W	6392	1gtxa	c.67.1.4	A	1	471
534445	YPR016C	6393	1g62a	d.126.1.1	A	1	245
531243	YIL064W	6395	1kpia	c.66.1.18	A	1	257
533048	YMR226C	6441	1i01a	c.2.1.2	A	1	267
530631	YGR036C	6450	1d2ta	a.111.1.1	A	1	239
531230	YIL051C	6453	1jd1a	d.79.1.1	A	1	145
530640	YGR043C	6477	1f05a	c.1.10.1	A	1	333
533058	YMR236W	6478	1tafa	a.22.1.3	A	1	157
533244	YNL090W	6496	1ftna	c.37.1.8	A	1	192
532438	YLR245C	6539	1jtka	c.97.1.1	A	1	142
531391	YIR035C	6564	1ae1a	c.2.1.2	A	1	254
531392	YIR036C	6570	2ae1a	c.2.1.2	A	1	263
531393	YIR037W	6574	1gp1a	c.47.1.10	A	1	163
529496	YDR151C	6629	1k83a	e.29.1.2	A	1	325
529417	YDR075W	6657	1fjma	d.159.1.3	A	1	308
532626	YLR426W	6678	1i01a	c.2.1.2	A	1	326
531189	YIL010W	6745	1qq2a	c.47.1.10	A	1	215
529435	YDR092W	6746	1jbba	d.20.1.1	A	1	153
532639	YLR438W	6825	2cana	c.67.1.4	A	1	424
531291	YIL113W	6853	1mkpa	c.45.1.1	A	1	209
529105	YDL021W	6963	1bq3d	c.60.1.1	A	1	311
529487	YDR142C	6983	1gg2b	b.69.4.1	A	1	375
529763	YDR399W	7007	1bzya	c.61.1.1	A	1	221
529764	YDR400W	7010	1ezra	c.70.1.1	A	1	378
529092	YDL008W	7014	1ldjb	g.44.1.1	A	1	165
530539	YGL210W	7079	1g17a	c.37.1.8	A	1	222
532695	YML025C	7152	1dmga	c.22.1.1	A	1	286
532692	YML022W	7160	1g2pa	c.61.1.1	A	1	187
529805	YDR441C	7216	1g2pa	c.61.1.1	A	1	181
529792	YDR428C	7224	1evqa	c.69.1.2	A	1	261
529817	YDR453C	7226	1qmva	c.47.1.10	A	1	196
532757	YML085C	7243	1ffxa	i.10.1.1	A	1	447
533839	YOR094W	7276	1e0sa	c.37.1.8	A	1	183
530864	YGR263C	7277	1k4ya	c.69.1.1	A	1	424
531272	YIL094C	7283	1osja	c.77.1.1	A	1	371
530868	YGR267C	7294	1is7a	d.96.1.1	A	1	243
529850	YDR486C	7315	1i84s	i.15.1.1	A	1	262
529845	YDR481C	7333	1ew2a	c.76.1.1	A	1	566
532725	YML056C	7344	1b3oa	c.1.5.1	A	1	524
532456	YLR262C	7397	1d5ca	c.37.1.8	A	1	215
529877	YDR513W	7424	1ktea	c.47.1.1	A	1	143
532366	YLR174W	7481	1cnza	c.77.1.1	A	1	412
529894	YDR529C	7486	1kyog	f.27.1.1	A	1	127
532371	YLR179C	7487	1kn3a	b.17.1.1	A	1	201
529898	YDR533C	7497	1g2ia	c.23.16.2	A	1	237
533791	YOR046C	7507	1fuua	c.37.1.19	A	1	482
532502	YLR306W	7527	2aaka	d.20.1.1	A	1	188
529413	YDR071C	7545	1kuva	d.108.1.1	A	1	191
533253	YNL099C	7549	1vhra	c.45.1.1	A	1	238
534011	YOR265W	7638	1qsda	a.7.5.1	A	1	106
528420	YAL049C	7725	1dina	c.69.1.9	A	1	246
528414	YAL044C	7749	1dxma	b.84.1.1	A	1	177
532206	YLR013W	7764	4gata	g.39.1.1	A	1	141
532210	YLR017W	7769	1cb0a	c.56.2.1	A	1	337
532479	YLR284C	7782	1hnoa	c.14.1.3	A	1	280
534316	YPL170W	7887	1euea	d.120.1.1	A	1	152
534324	YPL178W	7898	1h2tz	d.58.7.1	A	1	208
534360	YPL213W	7941	1a9na	c.10.2.4	A	1	238
534421	YPL273W	7995	1lt8a	c.1.26.1	A	1	325
534428	YPL280W	8002	1n57a	c.23.16.2	A	1	237
746216	YDR139C	8083	1ndda	d.15.1.1	A	1	77
528673	YBR072W	8107	1gmea	b.15.1.1	A	1	214
528999	YCR019W	8123	1rk2a	c.72.1.1	A	1	363
532726	YML057W	8125	1auia	d.159.1.3	A	1	604
529132	YDL047W	8135	1fjma	d.159.1.3	A	1	311
528520	YBL041W	8136	1g0ul	d.153.1.4	A	1	241
534531	YPR102C	8137	1ffkd	d.77.1.1	A	1	174
529003	YCR021C	8166	1c8ra	f.13.1.1	A	1	332
530632	YGR037C	8176	2abda	a.11.1.1	A	1	87
532232	YLR038C	8192	1occh	a.51.1.1	A	1	83
529883	YDR519W	8209	1yata	d.26.1.1	A	1	135
532489	YLR293C	8228	1a2kc	c.37.1.8	A	1	219
533930	YOR185C	8229	1a2kc	c.37.1.8	A	1	220
533189	YNL037C	8240	1xaca	c.77.1.1	A	1	360
532537	YLR340W	8242	1jj2g	j.84.1.1	A	1	312
528387	YAL020C	8246	1a12a	b.69.5.1	A	1	333
531138	YHR179W	8304	1oyaa	c.1.4.1	A	1	400
530136	YER133W	8329	1it6a	d.159.1.3	A	1	312
534277	YPL131W	8337	1ffkk	c.55.4.1	A	1	297
531689	YJR063W	8339	1meyg	k.12.1.1	A	1	125
532400	YLR208W	8342	1erja	b.69.4.1	A	1	297
530542	YGL213C	8349	1gg2b	b.69.4.1	A	1	397
530671	YGR074W	8353	1b34a	b.38.1.1	A	1	146
528397	YAL030W	8363	1sfca	h.1.15.1	A	1	117
531683	YJR057W	8396	1tmka	c.37.1.1	A	1	216
531725	YJR099W	8443	1cmxa	d.3.1.6	A	1	236
531912	YKL117W	8444	1ejfa	b.15.1.2	A	1	216
529012	YCR028C-A	8446	3ulla	b.40.4.3	A	1	135
531799	YKL009W	8456	1jj2g	j.84.1.1	A	1	236
534489	YPR060C	8486	2csma	a.130.1.2	A	1	256
533957	YOR210W	8499	1k83j	a.4.11.1	A	1	70
532700	YML031W	8508	1ej6b	i.7.1.1	A	1	655
528869	YBR261C	8520	1l1ea	c.66.1.18	A	1	232
528872	YBR264C	8525	1huqa	c.37.1.8	A	1	218
528873	YBR265W	8526	1gcoa	c.2.1.2	A	1	320
531988	YKL192C	8528	1acpa	a.28.1.1	A	1	125
528856	YBR249C	8559	1gg1a	c.1.10.4	A	1	370
531569	YJL166W	8590	1ezvg	f.23.13.1	A	1	94
528534	YBL055C	8616	1psca	c.1.9.3	A	1	418
531909	YKL114C	8636	1qtwa	c.1.15.1	A	1	367
532342	YLR147C	8640	1d3ba	b.38.1.1	A	1	101
529963	YEL051W	8641	1av1a	h.5.1.1	A	1	256
532697	YML028W	8677	1qmva	c.47.1.10	A	1	196
533577	YOL005C	8707	1k83k	d.74.3.2	A	1	120
528757	YBR153W	8770	1cz3a	c.71.1.1	A	1	244
529659	YDR304C	8782	1cyna	b.62.1.1	A	1	225
528600	YBR002C	8797	1jp3a	c.101.1.1	A	1	286
531966	YKL170W	8838	487dm	i.1.1.2	A	1	138
532107	YKR087C	8900	1qu7a	h.4.5.1	A	1	314
529297	YDL208W	8924	1e7ka	d.79.3.1	A	1	173
530025	YER031C	8957	1g17a	c.37.1.8	A	1	223
531902	YKL107W	9000	1ae1a	c.2.1.2	A	1	309
531893	YKL099C	9009	1c1gb	h.1.5.1	A	1	256
531860	YKL067W	9034	1nuea	d.58.6.1	A	1	153
531849	YKL056C	9041	1h7ya	b.88.1.2	A	1	167
531848	YKL055C	9042	1edoa	c.2.1.2	A	1	278
533834	YOR089C	9086	1ek0a	c.37.1.8	A	1	210
532954	YMR138W	9087	1ksha	c.37.1.8	A	1	191
533765	YOR020C	9117	1hx5a	b.35.1.1	A	1	106
528475	YAR073W	9146	1b3oa	c.1.5.1	A	1	403
531175	YHR216W	9178	1b3oa	c.1.5.1	A	1	523
531169	YHR210C	9198	1l7ja	b.30.5.4	A	1	341
534317	YPL171C	9226	1oyaa	c.1.4.1	A	1	400
531864	YKL071W	9234	1i01a	c.2.1.2	A	1	256
528515	YBL036C	9253	1b54a	c.1.6.2	A	1	257
528639	YBR039W	9314	1bmfg	c.49.2.1	A	1	311
533247	YNL093W	9361	1ek0a	c.37.1.8	A	1	220
532034	YKR014C	9362	1huqa	c.37.1.8	A	1	234
531803	YKL013C	9380	1k8kf	d.198.2.1	A	1	171
531809	YKL018W	9381	1gg2b	b.69.4.1	A	1	329
531814	YKL023W	9390	1i84s	i.15.1.1	A	1	277
531817	YKL026C	9391	1gp1a	c.47.1.10	A	1	167
531833	YKL041W	9420	1av1a	h.5.1.1	A	1	224
531841	YKL049C	9424	1eqzc	a.22.1.1	A	1	137
531949	YKL154W	9488	1fzqa	c.37.1.8	A	1	244
532064	YKR043C	9567	1bq3d	c.60.1.1	A	1	271
531022	YHR068W	9676	1dhsa	c.31.1.1	A	1	387
529405	YDR063W	9819	1f7sa	d.109.1.2	A	1	149
529409	YDR067C	9823	1rpma	c.45.1.2	A	1	224
532647	YLR446W	9825	1rpma	c.45.1.2	A	1	433
532648	YLR447C	9828	1b89a	a.118.1.3	A	1	345
531505	YJL104W	9919	1gh6a	a.2.3.1	A	1	149
531296	YIL118W	9931	1lb1b	c.37.1.8	A	1	231
531102	YHR143W-A	9932	1k83l	g.41.9.2	A	1	70
532218	YLR025W	9933	1i84s	i.15.1.1	A	1	240
531181	YIL003W	9940	1g3qa	c.37.1.10	A	1	293
531645	YJR019C	10027	1c8ua	d.38.1.3	A	1	349
532885	YMR074C	10079	1eija	a.5.6.1	A	1	145
529663	YDR308C	10096	1i84s	i.15.1.1	A	1	140
534626	YPR193C	10118	1qsma	d.108.1.1	A	1	156
534633	YPR200C	10122	1cwta	c.46.1.1	A	1	130
534615	YPR182W	10133	1i81a	b.38.1.1	A	1	86
534159	YPL013C	10172	1emwa	d.27.1.1	A	1	121
529383	YDR041W	10192	1fjgj	d.58.15.1	A	1	203
533630	YOL056W	10203	1bq3d	c.60.1.1	A	1	303
534205	YPL059W	10220	1ktea	c.47.1.1	A	1	150
529370	YDR032C	10327	1ag9a	c.23.5.1	A	1	198
529604	YDR253C	10340	1meyg	k.12.1.1	A	1	191
529788	YDR424C	10350	1f3ca	d.39.1.1	A	1	92
534226	YPL079W	10362	1ffkn	b.34.5.1	A	1	160
534076	YOR327C	10457	1kila	h.1.15.1	A	1	115
529903	YDR538W	10543	1e20a	c.34.1.1	A	1	242
534184	YPL038W	10569	1meyg	k.12.1.1	A	1	177
534179	YPL033C	10571	1i01a	c.2.1.2	A	1	281
531401	YJL001W	10576	1ryph	d.153.1.4	A	1	215
533730	YOL154W	10579	1ge5a	d.92.1.12	A	1	249
530429	YGL100W	10589	1erja	b.69.4.1	A	1	349
533265	YNL111C	10647	1euea	d.120.1.1	A	1	120
534088	YOR339C	10706	2e2ca	d.20.1.1	A	1	156
534108	YOR357C	10749	1h6ha	d.189.1.1	A	1	162
534142	YOR391C	10790	1n57a	c.23.16.2	A	1	237
529291	YDL202W	10813	1jj2g	j.84.1.1	A	1	249
529142	YDL057W	10821	1a8sa	c.69.1.12	A	1	328
529169	YDL084W	10853	1fuua	c.37.1.19	A	1	446
529200	YDL114W	10864	1i01a	c.2.1.2	A	1	308
