ORF	substrate	sf	fam	buriedCD	exposedCD
YNL090W	+	c.37.1	c.37.1.8	0.34444444444444444	0.39215686274509803
YMR138W	+	c.37.1	c.37.1.8	0.7239583333333334	0.6157894736842106
YKR059W	+	c.37.1	c.37.1.19	0.5340909090909091	0.3593155893536122
YOR094W	-	c.37.1	c.37.1.8	0.3958333333333333	0.4827586206896552
YBR164C	+	c.37.1	c.37.1.8	0.7040816326530612	0.5529411764705883
YKR014C	+	c.37.1	c.37.1.8	0.47474747474747475	0.37037037037037035
YNL093W	-	c.37.1	c.37.1.8	0.4158415841584158	0.5210084033613446
YDL084W	+	c.37.1	c.37.1.19	0.6361702127659574	0.44786729857819907
YOR185C	+	c.37.1	c.37.1.8	0.40425531914893614	0.4365079365079365
YFL005W	+	c.37.1	c.37.1.8	0.6352941176470588	0.43846153846153846
YDR021W	+	c.37.1	c.37.1.19	0.6866952789699571	0.463855421686747
YHR022C	-	c.37.1	c.37.1.8	0.4700854700854701	0.49640287769784175
YJR057W	-	c.37.1	c.37.1.1	0.9831932773109243	0.5876288659793815
YHR065C	-	c.37.1	c.37.1.19	0.7870370370370371	0.49134199134199136
YFL038C	+	c.37.1	c.37.1.8	0.6479591836734694	0.5138888888888888
YDR248C	-	c.37.1	c.37.1.17	0.7289156626506024	0.6045454545454545
YFL066C	+	c.37.1	c.37.1.19	0.49782608695652175	0.45987654320987653
YCR027C	+	c.37.1	c.37.1.8	0.5561224489795918	0.4369369369369369
YBR264C	+	c.37.1	c.37.1.8	0.27472527472527475	0.4166666666666667
YOR089C	+	c.37.1	c.37.1.8	0.3882978723404255	0.40948275862068967
YGR205W	-	c.37.1	c.37.1.6	1.0777027027027026	0.5669014084507042
YLR293C	+	c.37.1	c.37.1.8	0.40594059405940597	0.3813559322033898
YGL091C	-	c.37.1	c.37.1.10	0.7685185185185185	0.5210843373493976
YIL003W	+	c.37.1	c.37.1.10	0.39403973509933776	0.426056338028169
YKL154W	-	c.37.1	c.37.1.8	0.5931372549019608	0.3415492957746479
YBR227C	-	c.37.1	c.37.1.20	0.5753846153846154	0.48717948717948717
YNL202W	-	c.2.1	c.2.1.2	0.4205298013245033	0.35106382978723405
YKL107W	-	c.2.1	c.2.1.2	0.5705882352941176	0.7122302158273381
YDL114W	-	c.2.1	c.2.1.2	1.0424242424242425	0.7482517482517482
YLR426W	+	c.2.1	c.2.1.2	0.7142857142857143	0.5886075949367089
YOR246C	+	c.2.1	c.2.1.2	0.6083333333333333	0.73
YKL055C	-	c.2.1	c.2.1.2	0.5896551724137931	0.5827067669172933
YPL033C	-	c.2.1	c.2.1.2	0.618421052631579	0.6744186046511628
YBR159W	-	c.2.1	c.2.1.2	0.6982758620689655	0.5289017341040463
YMR090W	-	c.2.1	c.2.1.2	0.34134615384615385	0.44308943089430897
YNL181W	+	c.2.1	c.2.1.2	0.693717277486911	0.5532407407407407
YKL071W	-	c.2.1	c.2.1.2	0.5265151515151515	0.6008064516129032
YER004W	+	c.2.1	c.2.1.2	0.515	0.583969465648855
YIR036C	+	c.2.1	c.2.1.2	0.24060150375939848	0.3153846153846154
YIL124W	+	c.2.1	c.2.1.2	0.5679012345679012	0.6888888888888889
YGR019W	+	c.67.1	c.67.1.4	0.894	0.6990950226244343
YNR058W	-	c.67.1	c.67.1.4	0.5634057971014492	0.5416666666666666
YLR438W	-	c.67.1	c.67.1.4	0.4847161572052402	0.5282051282051282
YLR027C	+	c.67.1	c.67.1.1	0.7531380753138075	0.5418994413407822
YBR263W	+	c.67.1	c.67.1.4	0.5508771929824562	0.6097560975609756
YEL066W	+	d.108.1	d.108.1.1	0.6229508196721312	0.3983050847457627
YPR193C	-	d.108.1	d.108.1.1	0.6935483870967742	0.5106382978723404
YPR131C	+	d.108.1	d.108.1.1	0.8897058823529411	0.5787401574803149
YDR071C	+	d.108.1	d.108.1.1	0.9264705882352942	0.7886178861788617
YFL017C	+	d.108.1	d.108.1.1	0.6417910447761194	0.5
YIR042C	-	d.108.1	d.108.1.1	0.6886792452830188	0.4846153846153846
YDR183W	-	c.47.1	c.47.1.6	0.5170454545454546	0.4612676056338028
YKL026C	-	c.47.1	c.47.1.10	0.83125	0.4885057471264368
YDR453C	-	c.47.1	c.47.1.10	0.41836734693877553	0.3877551020408163
YCL035C	-	c.47.1	c.47.1.1	0.5648148148148148	0.41964285714285715
YCR083W	+	c.47.1	c.47.1.1	0.6818181818181818	0.6458333333333334
YIL010W	-	c.47.1	c.47.1.10	0.7083333333333334	0.40076335877862596
YHR057C	+	b.62.1	b.62.1.1	0.37755102040816324	0.40186915887850466
YDR304C	-	b.62.1	b.62.1.1	0.42788461538461536	0.384297520661157
YML078W	-	b.62.1	b.62.1.1	0.495	0.4451219512195122
YDR155C	+	b.62.1	b.62.1.1	0.35638297872340424	0.3014705882352941
YOR026W	+	b.69.4	b.69.4.1	0.7087628865979382	0.5340136054421769
YLR043C	+	c.47.1	c.47.1.1	0.33	0.5943396226415094
YDL192W	-	c.37.1	c.37.1.8	0.3618421052631579	0.5952380952380952
YGL004C	+	b.69.4	b.69.4.1	0.4280155642023346	0.4625
