orf	uniprotID	substrate	sf	family	Length
YPR085C	Q06822	-	b.69.4	b.69.4.1	443
YGL100W	P53011	+	b.69.4	b.69.4.1	349
YNL006W	P41318	+	b.69.4	b.69.4.1	303
YBR175W	P38123	+	b.69.4	b.69.4.1	315
YBR246W	P38332	+	b.69.4	b.69.4.1	387
YER066W	P40042	-	b.69.4	b.69.4.1	185
YMR116C	P38011	+	b.69.4	b.69.4.1	319
YGL004C	P53196	+	b.69.4	b.69.4.1	417
YKL018W	P36104	+	b.69.4	b.69.4.1	329
YLR174W	P41939	+	c.77.1	c.77.1.1	412
YDL066W	P21954	+	c.77.1	c.77.1.1	428
YNL009W	P53982	-	c.77.1	c.77.1.1	420
YCL018W	P04173	-	c.77.1	c.77.1.1	364
YOR136W	P28241	+	c.77.1	c.77.1.1	369
