ORF	substrate	sf	fam	buriedCD	buried_alpha	buried_beta	exposedCD	buried_ldens	buried_wldens	normCD	normBD
YDR021W	1	c.37.1	c.37.1.19	0.687	0.91	0.296	0.464	3.325	2.821	-0.05799999999999994	-1.7749999999999995
YHR022C	0	c.37.1	c.37.1.8	0.47	0.625	0.364	0.496	4.816	2.539	-0.275	-0.2839999999999998
YJR057W	0	c.37.1	c.37.1.1	0.983	0.981	1.091	0.588	2.824	3.742	0.238	-2.276
YHR065C	0	c.37.1	c.37.1.19	0.787	0.921	0.648	0.491	2.969	3.487	0.04200000000000004	-2.131
YFL038C	1	c.37.1	c.37.1.8	0.648	0.7	0.671	0.514	3.667	3.32	-0.09699999999999998	-1.4329999999999998
YDR248C	0	c.37.1	c.37.1.17	0.729	0.714	0.611	0.605	3.553	3.89	-0.016000000000000014	-1.5469999999999997
YFL066C	1	c.37.1	c.37.1.19	0.498	0.513	0.364	0.46	3.542	2.43	-0.247	-1.5579999999999998
YCR027C	1	c.37.1	c.37.1.8	0.556	0.7	0.731	0.437	4.304	2.861	-0.18899999999999995	-0.7959999999999994
YBR264C	1	c.37.1	c.37.1.8	0.275	0.389	0.226	0.417	5.9	2.361	-0.47	0.8000000000000007
YOR089C	1	c.37.1	c.37.1.8	0.388	0.259	0.581	0.409	4.735	2.72	-0.357	-0.3649999999999993
YGR205W	0	c.37.1	c.37.1.6	1.078	1.066	1.354	0.567	3.383	4.082	0.3330000000000001	-1.7169999999999996
YLR293C	1	c.37.1	c.37.1.8	0.406	0.5	0.462	0.381	4.833	2.46	-0.33899999999999997	-0.26699999999999946
YGL091C	0	c.37.1	c.37.1.10	0.769	0.833	1.0	0.521	3.511	3.661	0.02400000000000002	-1.5889999999999995
YOR046C	1	c.37.1	c.37.1.19	0.505	0.676	0.241	0.717	5.743	3.68	-0.24	0.6430000000000007
YIL003W	1	c.37.1	c.37.1.10	0.394	0.368	0.364	0.426	4.656	2.74	-0.351	-0.44399999999999995
YKL154W	0	c.37.1	c.37.1.8	0.593	0.812	0.519	0.342	4.0	3.02	-0.15200000000000002	-1.0999999999999996
YBR227C	0	c.37.1	c.37.1.20	0.575	0.586	0.476	0.487	3.054	2.551	-0.17000000000000004	-2.046
YNL202W	0	c.2.1	c.2.1.2	0.421	0.592	0.459	0.351	4.476	2.15	0.126	1.076
YKL107W	0	c.2.1	c.2.1.2	0.571	0.588	0.455	0.712	3.554	2.784	0.27599999999999997	0.15399999999999991
YDL114W	0	c.2.1	c.2.1.2	1.042	1.012	1.407	0.748	2.822	3.915	0.7470000000000001	-0.5779999999999998
YLR426W	1	c.2.1	c.2.1.2	0.714	0.986	0.365	0.589	3.523	3.186	0.419	0.12300000000000022
YOR246C	1	c.2.1	c.2.1.2	0.608	0.644	0.6	0.73	3.544	3.254	0.313	0.14400000000000013
YKL055C	0	c.2.1	c.2.1.2	0.59	0.417	0.791	0.583	3.761	3.382	0.295	0.3610000000000002
YPL033C	0	c.2.1	c.2.1.2	0.618	0.645	0.476	0.674	3.5	3.278	0.323	0.10000000000000009
YBR159W	0	c.2.1	c.2.1.2	0.698	0.756	0.812	0.529	3.429	3.147	0.40299999999999997	0.028999999999999915
YMR090W	0	c.2.1	c.2.1.2	0.341	0.393	0.371	0.443	6.353	2.68	0.04600000000000004	2.953
YNL181W	1	c.2.1	c.2.1.2	0.694	0.75	0.737	0.553	3.311	3.282	0.39899999999999997	-0.08899999999999997
YKL071W	0	c.2.1	c.2.1.2	0.527	0.477	0.625	0.601	4.067	3.29	0.23200000000000004	0.6670000000000003
YER004W	1	c.2.1	c.2.1.2	0.515	0.615	0.444	0.584	4.653	3.434	0.22000000000000003	1.2529999999999997
YIR036C	1	c.2.1	c.2.1.2	0.241	0.244	0.185	0.315	7.0	2.337	-0.05399999999999999	3.6
YIL124W	1	c.2.1	c.2.1.2	0.568	0.5	0.609	0.689	3.763	3.32	0.27299999999999996	0.363
YGR019W	1	c.67.1	c.67.1.4	0.894	0.865	0.966	0.699	2.607	3.263	0.33399999999999996	-0.9429999999999996
YNR058W	0	c.67.1	c.67.1.4	0.563	0.571	0.756	0.542	3.621	2.716	0.0029999999999998916	0.07100000000000017
YLR438W	0	c.67.1	c.67.1.4	0.485	0.452	0.559	0.528	3.776	2.68	-0.07500000000000007	0.22599999999999998
YLR027C	1	c.67.1	c.67.1.1	0.753	0.779	0.588	0.542	2.992	3.032	0.19299999999999995	-0.5579999999999998
YBR263W	1	c.67.1	c.67.1.4	0.551	0.551	0.481	0.61	3.428	2.621	-0.009000000000000008	-0.12199999999999989
YEL066W	1	d.108.1	d.108.1.1	0.623	0.972	0.44	0.398	4.4	4.0	-0.04200000000000004	0.0
YPR193C	0	d.108.1	d.108.1.1	0.694	0.708	0.875	0.511	4.419	4.5	0.028999999999999915	0.01899999999999924
YPR131C	1	d.108.1	d.108.1.1	0.89	1.206	0.864	0.579	3.9	5.269	0.22499999999999998	-0.5000000000000004
YDR071C	1	d.108.1	d.108.1.1	0.926	1.176	0.759	0.789	3.953	6.799	0.261	-0.4470000000000005
YFL017C	1	d.108.1	d.108.1.1	0.642	0.722	0.643	0.5	4.375	3.462	-0.02300000000000002	-0.025000000000000355
YIR042C	0	d.108.1	d.108.1.1	0.689	0.562	1.028	0.485	3.627	3.624	0.02399999999999991	-0.7730000000000006
YDR183W	0	c.47.1	c.47.1.6	0.517	0.8	0.375	0.461	5.366	3.816	0.14200000000000002	2.1659999999999995
YKL026C	0	c.47.1	c.47.1.10	0.831	0.812	0.786	0.489	2.755	3.139	0.45599999999999996	-0.4450000000000003
YDR453C	0	c.47.1	c.47.1.10	0.418	0.308	0.529	0.388	3.9	2.314	0.04299999999999998	0.6999999999999997
YCL035C	0	c.47.1	c.47.1.1	0.565	0.609	0.5	0.42	4.2	2.302	0.18999999999999995	1.0
YCR083W	1	c.47.1	c.47.1.1	0.682	1.147	0.421	0.646	3.029	3.157	0.30700000000000005	-0.17100000000000026
YIL010W	0	c.47.1	c.47.1.10	0.708	0.714	0.65	0.401	3.381	2.711	0.33299999999999996	0.1809999999999996
YLR364W	0	c.47.1	c.47.1.1	0.588	0.938	0.167	0.409	5.0	3.205	0.21299999999999997	1.7999999999999998
YHR057C	1	b.62.1	b.62.1.1	0.378	0.577	0.324	0.402	4.27	2.314	-0.02200000000000002	-0.4800000000000004
YDR304C	0	b.62.1	b.62.1.1	0.428	0.536	0.705	0.384	5.167	2.568	0.02799999999999997	0.4169999999999998
YML078W	0	b.62.1	b.62.1.1	0.495	0.781	0.731	0.445	3.605	2.556	0.09499999999999997	-1.145
YDR155C	1	b.62.1	b.62.1.1	0.356	0.5	0.325	0.301	4.343	2.247	-0.04400000000000004	-0.40700000000000003
YOR026W	1	b.69.4	b.69.4.1	0.709	0.5	0.727	0.534	3.083	2.894	-0.041000000000000036	-1.367
YLR043C	1	c.47.1	c.47.1.1	0.33	0.7	0.083	0.594	5.077	3.184	-0.044999999999999984	1.8769999999999998
YDL192W	0	c.37.1	c.37.1.8	0.362	0.395	0.306	0.595	5.464	3.633	-0.383	0.36400000000000077
YGL004C	1	b.69.4	b.69.4.1	0.428	0.5	0.45	0.462	4.069	2.305	-0.322	-0.3810000000000002
