orf	model	score	rmsd	seqid
YNL090W	../data/homology/YNL090W_1ek0A/YNL090W.B99990005.pdb	-19208.3515625	0.46550172567367554	35.7140007019043
YMR138W	../data/homology/YMR138W_1mozA/YMR138W.B99990004.pdb	-20658.5	0.3687995970249176	32.58399963378906
YKR059W	../data/homology/YKR059W_1fuuA/YKR059W.B99990001.pdb	-31499.509765625	none	none
YOR094W	../data/homology/YOR094W_1mozA/YOR094W.B99990004.pdb	-21152.189453125	0.23622936010360718	47.75299835205078
YBR164C	../data/homology/YBR164C_1mozA/YBR164C.B99990001.pdb	-22348.3984375	none	none
YKR014C	../data/homology/YKR014C_1ek0A/YKR014C.B99990004.pdb	-21846.638671875	0.3604010045528412	62.5
YNL093W	../data/homology/YNL093W_1ek0A/YNL093W.B99990005.pdb	-21779.970703125	0.1976509839296341	64.88099670410156
YDL084W	../data/homology/YDL084W_5supA/YDL084W.B99990003.pdb	-50524.9921875	none	none
YOR185C	../data/homology/YOR185C_2x19A/YOR185C.B99990001.pdb	-21681.28515625	0.13653141260147095	98.83699798583984
YFL005W	../data/homology/YFL005W_1g16A/YFL005W.B99990002.pdb	-21431.107421875	none	none
YDR021W	../data/homology/YDR021W_5supA/YDR021W.B99990003.pdb	-45636.21484375	0.3078725337982178	35.50899887084961
YHR022C	../data/homology/YHR022C_1ek0A/YHR022C.B99990005.pdb	-22959.111328125	0.5094878673553467	31.54800033569336
YJR057W	../data/homology/YJR057W_1tmkA/YJR057W.B99990002.pdb	-25471.642578125	none	none
YHR065C	../data/homology/YHR065C_5supA/YHR065C.B99990003.pdb	-45830.73828125	0.41440898180007935	33.680999755859375
YFL038C	../data/homology/YFL038C_1ukvY/YFL038C.B99990001.pdb	-22328.2734375	none	none
YDR248C	../data/homology/YDR248C_1tmkA/YDR248C.B99990001.pdb	-16585.861328125	0.6973640322685242	22.280000686645508
YFL066C	../data/homology/YFL066C_5supA/YFL066C.B99990003.pdb	-39024.64453125	0.43169769644737244	17.23200035095215
YCR027C	../data/homology/YCR027C_1g16A/YCR027C.B99990005.pdb	-20605.51171875	0.3103310763835907	41.0260009765625
YBR264C	../data/homology/YBR264C_1ukvY/YBR264C.B99990005.pdb	-19410.232421875	0.5121984481811523	28.426000595092773
YOR089C	../data/homology/YOR089C_1ek0A/YOR089C.B99990003.pdb	-20771.3125	none	none
YGR205W	../data/homology/YGR205W_1odfA/YGR205W.B99990002.pdb	-35172.453125	none	none
YLR293C	../data/homology/YLR293C_2x19A/YLR293C.B99990002.pdb	-21537.376953125	none	none
YGL091C	../data/homology/YGL091C_5supA/YGL091C.B99990003.pdb	-25578.17578125	0.8356842994689941	15.854000091552734
YOR046C	../data/homology/YOR046C_2kbeA/YOR046C.B99990001.pdb	-29284.373046875	none	none
YIL003W	../data/homology/YIL003W_1fuuA/YIL003W.B99990005.pdb	-24633.32421875	0.7103347182273865	26.698999404907227
YKL154W	../data/homology/YKL154W_1nrjB/YKL154W.B99990002.pdb	-23684.775390625	none	none
YBR227C	../data/homology/YBR227C_5supA/YBR227C.B99990005.pdb	-40858.50390625	0.7351978421211243	22.45400047302246
YNL202W	../data/homology/YNL202W_4hbgA/YNL202W.B99990002.pdb	-24477.740234375	0.7233842015266418	18.677000045776367
YKL107W	../data/homology/YKL107W_4hbgA/YKL107W.B99990003.pdb	-25064.3828125	0.7043395638465881	20.232999801635742
YDL114W	../data/homology/YDL114W_4hbgA/YDL114W.B99990005.pdb	-25466.470703125	0.8152690529823303	19.8439998626709
YLR426W	../data/homology/YLR426W_4hbgA/YLR426W.B99990003.pdb	-32014.181640625	0.6421452164649963	23.34600067138672
YOR246C	../data/homology/YOR246C_4hbgA/YOR246C.B99990004.pdb	-31519.181640625	0.8617554903030396	22.179000854492188
YKL055C	../data/homology/YKL055C_4hbgA/YKL055C.B99990001.pdb	-31801.955078125	none	none
YPL033C	../data/homology/YPL033C_4hbgA/YPL033C.B99990003.pdb	-27533.140625	0.6889077425003052	17.510000228881836
YBR159W	../data/homology/YBR159W_4hbgA/YBR159W.B99990003.pdb	-30220.310546875	0.8543136715888977	21.790000915527344
YMR090W	../data/homology/YMR090W_4hbgA/YMR090W.B99990002.pdb	-18424.23046875	0.948645293712616	21.145000457763672
YNL181W	../data/homology/YNL181W_4hbgA/YNL181W.B99990004.pdb	-29277.470703125	0.9081037044525146	26.847999572753906
YKL071W	../data/homology/YKL071W_4hbgA/YKL071W.B99990005.pdb	-24451.21484375	0.6947316527366638	16.797000885009766
YER004W	../data/homology/YER004W_4hbgA/YER004W.B99990004.pdb	-18179.080078125	0.76041579246521	18.18199920654297
YIR036C	../data/homology/YIR036C_4hbgA/YIR036C.B99990003.pdb	-24709.900390625	0.5838629007339478	15.175000190734863
YIL124W	../data/homology/YIL124W_4hbgA/YIL124W.B99990004.pdb	-26434.20703125	0.813027024269104	20.232999801635742
YGR019W	../data/homology/YGR019W_1yaaA/YGR019W.B99990002.pdb	-42106.31640625	0.633013904094696	18.93199920654297
YNR058W	../data/homology/YNR058W_1yaaA/YNR058W.B99990004.pdb	-45384.265625	0.6625133752822876	20.145999908447266
YLR438W	../data/homology/YLR438W_1yaaA/YLR438W.B99990002.pdb	-39690.4921875	0.5739540457725525	16.74799919128418
YLR027C	../data/homology/YLR027C_1yaaA/YLR027C.B99990002.pdb	-50872.8359375	none	none
YBR263W	../data/homology/YBR263W_1yaaA/YBR263W.B99990001.pdb	-38340.921875	0.6944062113761902	20.145999908447266
YEL066W	../data/homology/YEL066W_1qsmA/YEL066W.B99990004.pdb	-16494.861328125	0.23943167924880981	50.66699981689453
YPR193C	../data/homology/YPR193C_1qsmA/YPR193C.B99990003.pdb	-16465.55859375	none	none
YPR131C	../data/homology/YPR131C_1qsmA/YPR131C.B99990004.pdb	-15645.857421875	0.8240082263946533	20.66699981689453
YDR071C	../data/homology/YDR071C_1i12A/YDR071C.B99990004.pdb	-15491.2646484375	0.734398603439331	26.62299919128418
YFL017C	../data/homology/YFL017C_1i12A/YFL017C.B99990001.pdb	-16493.3671875	none	none
YIR042C	../data/homology/YIR042C_1qsmA/YIR042C.B99990001.pdb	-17541.15625	0.9454270005226135	27.33300018310547
YDR183W	../data/homology/YDR183W_2oe3A/YDR183W.B99990001.pdb	-16628.458984375	0.5205121636390686	32.07500076293945
YKL026C	../data/homology/YKL026C_5dvbH/YKL026C.B99990004.pdb	-14982.5380859375	0.5879778861999512	15.569000244140625
YDR453C	../data/homology/YDR453C_5dvbH/YDR453C.B99990002.pdb	-21226.40625	none	none
YCL035C	../data/homology/YCL035C_2jacA/YCL035C.B99990001.pdb	-12707.6455078125	none	none
YCR083W	../data/homology/YCR083W_2oe3A/YCR083W.B99990003.pdb	-14138.6435546875	none	none
YIL010W	../data/homology/YIL010W_2a4vA/YIL010W.B99990002.pdb	-19785.380859375	none	none
YLR364W	../data/homology/YLR364W_2m80A/2m80A.pdb	-100000	none	none
YHR057C	../data/homology/YHR057C_1istA/YHR057C.B99990001.pdb	-18142.5078125	0.18590782582759857	55.279998779296875
YDR304C	../data/homology/YDR304C_1istA/YDR304C.B99990002.pdb	-19246.119140625	0.25320032238960266	59.62699890136719
YML078W	../data/homology/YML078W_1istA/YML078W.B99990003.pdb	-17823.0546875	0.12754271924495697	70.80699920654297
YDR155C	../data/homology/YDR155C_1istA/YDR155C.B99990001.pdb	-17447.32812	none	none
YOR026W	../data/homology/YOR026W_1yfqA/YOR026W.B99990001.pdb	-39163.80078125	none	none
YLR043C	../data/homology/YLR043C_2i9hA/2i9hA.pdb	-100000	none	none
YDL192W	../data/homology/YDL192W_2k5uA/YDL192W.B99990003.pdb	-18822.625	none	none
YGL004C	../data/homology/YGL004C_3vl1A/YGL004C.B99990002.pdb	-47328.29296875	none	none
